x,y,Fire_NUM,Year,RSPNCE_TYP,Ignition_Date,Fire_Out_Date,Status,Fire_Cause,Fire_Center,Zone,Fire_ID,Location,Latitude,Longitude,Size,Link
1236062.619,836017.2271,C10996,2023,Full,06/29/2023,06/29/2023,Out,Lightning,7,1,996,N of Tingley Creek,52.4816,-122.5164,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10996
1685118.848,488353.7313,N71053,2023,Full,06/30/2023,07/04/2023,Out,Lightning,6,7,1053,Dodge Creek,49.0024,-116.621,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N71053
1387016.365,538025.6385,K60801,2023,Full,06/16/2023,06/17/2023,Out,Lightning,5,6,801,Kump Lake,49.7262,-120.629,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60801
1158062.597,1594689.996,G91650,2023,Full,07/12/2023,07/15/2023,Out,Lightning,4,9,1650,Kiwigana River,59.308,-123.228,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91650
1621149.505,489314.004,N51030,2023,Full,06/30/2023,07/01/2023,Out,Lightning,6,5,1030,Kelly Creek,49.0836,-117.4863,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51030
1732102.492,521666.9232,N11076,2023,Full,07/01/2023,07/03/2023,Out,Lightning,6,1,1076,Moyie Lake,49.2415,-115.9216,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11076
1264160.649,1242638.502,G71486,2023,Full,07/10/2023,07/10/2023,Out,Lightning,4,7,1486,Farrel Creek,56.1061,-121.7421,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71486
963045.3406,1201564.379,G50893,2023,Full,06/23/2023,07/18/2023,Out,Lightning,4,5,893,Kotsine River,55.8079,-126.5908,0.12,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50893
1325301.736,830441.2683,C31433,2023,Full,07/09/2023,07/11/2023,Out,Lightning,7,3,1433,S of Horsefly Lake,52.385,-121.2085,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31433
1494576.679,701529.331,K41626,2023,Full,07/10/2023,07/20/2023,Out,Lightning,5,4,1626,West Anstey Arm,51.105,-118.9186,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41626
1385824.274,550021.5073,K61322,2023,Full,07/08/2023,07/12/2023,Out,Lightning,5,6,1322,Coalmont Road,49.8346,-120.6329,10.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61322
1509082.888,683378.5667,K40424,2023,Full,05/18/2023,05/20/2023,Out,Lightning,5,4,424,Lower Griffin Mountain,50.9296,-118.7389,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40424
1194959.608,1486730.539,G90788,2023,Full,06/14/2023,06/15/2023,Out,Lightning,4,9,788,Big Beaver Creek,58.325,-122.6708,0.024,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90788
1268764.604,1005368.932,G11879,2023,Full,07/17/2023,07/20/2023,Out,Lightning,4,1,1879,N of Purden Lake,53.9817,-121.8898,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11879
1784601.336,533160.6473,N10754,2023,Full,06/11/2023,06/19/2023,Out,Lightning,6,1,754,Kikomun Creek,49.2744,-115.1857,1.68,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10754
1380406.733,549824.7701,K60977,2023,Full,06/28/2023,06/29/2023,Out,Lightning,5,6,977,Davis Lake,49.8365,-120.7082,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60977
1481103.57,619223.2674,K40691,2023,Full,06/09/2023,06/09/2023,Out,Lightning,5,4,691,Hutley Creek,50.381,-119.2228,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40691
1507227.919,729197.1934,K40419,2023,Full,05/18/2023,05/25/2023,Out,Lightning,5,4,419,North Fork FSR,51.3405,-118.698,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40419
1165648.796,1133811.239,G60968,2023,Full,06/28/2023,06/29/2023,Out,Lightning,4,6,968,Coal Creek,55.175,-123.3926,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60968
1485551.335,606018.8836,K40688,2023,Full,06/08/2023,06/09/2023,Out,Lightning,5,4,688,Becker Lake FSR,50.2591,-119.1784,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40688
1322696.243,657551.9789,K21619,2023,Full,07/12/2023,07/13/2023,Out,Lightning,5,2,1619,Cattle Valley,50.8384,-121.4116,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21619
1386268.552,528638.1246,K61202,2023,Full,07/06/2023,07/08/2023,Out,Lightning,5,6,1202,Dry Lake,49.6425,-120.6492,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61202
1062213.275,1317922.989,G60770,2023,Full,06/04/2023,,Under Control,Lightning,4,6,770,Bluff Hill,56.848,-124.9785,60,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60770
1223332.466,1556778.923,G91687,2023,Full,07/10/2023,07/16/2023,Out,Lightning,4,9,1687,9.5km E Snake River,58.9402,-122.1217,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91687
1184079.544,1540913.565,G91455,2023,Full,07/09/2023,07/09/2023,Out,Lightning,4,9,1455,Parker Lake,58.8154,-122.8147,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91455
1350463.586,656143.0521,K21285,2023,Full,07/07/2023,07/08/2023,Out,Lightning,5,2,1285,Deadman Vidette Valley,50.809,-121.0194,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21285
1054749.668,1140969.242,G50787,2023,Full,06/13/2023,06/21/2023,Out,Lightning,4,5,787,Tchentlo Lake,55.2634,-125.1365,4.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50787
1147172.708,1543793.218,G90841,2023,Full,06/22/2023,07/11/2023,Out,Lightning,4,9,841,N of Kledo Creek and Muskwa River Confluence,58.8547,-123.4509,33.22,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90841
1734307.301,602871.0628,N20350,2023,Full,05/17/2023,05/17/2023,Out,Lightning,6,2,350,3 KM on Johnsons Road,49.9616,-115.7306,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N20350
1393790.989,522374.7765,K61436,2023,Full,07/08/2023,07/10/2023,Out,Lightning,5,6,1436,Knutson FSR,49.5812,-120.552,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61436
1515738.442,783446.2785,N41230,2023,Full,07/07/2023,07/09/2023,Out,Lightning,6,4,1230,Bigmouth FSR,51.8167,-118.4939,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41230
1330634.5,1607054.715,G90250,2023,Full,05/08/2023,05/09/2023,Out,Lightning,4,9,250,East of Pago Compressor Station,59.325,-120.1938,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90250
1308735.61,1372508.188,G80827,2023,Full,06/18/2023,06/21/2023,Out,Lightning,4,8,827,Zaremba Creek 1,57.2411,-120.8746,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80827
1396848.107,515773.1731,K61192,2023,Full,07/07/2023,07/08/2023,Out,Lightning,5,6,1192,Hardwick Creek,49.5199,-120.517,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61192
1196707.373,1132770.763,G61817,2023,Full,07/16/2023,07/19/2023,Out,Lightning,4,6,1817,Bruce Lake,55.1545,-122.9051,0.66,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61817
1677045.576,692835.9266,N20204,2023,Full,05/03/2023,05/04/2023,Out,Lightning,6,2,204,Clealand FSR,50.8342,-116.3509,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N20204
1231131.733,618896.6256,V30963,2023,Full,06/27/2023,06/28/2023,Out,Lightning,2,3,963,W of Birkenhead Lake,50.5373,-122.7366,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30963
1466934.377,546853.8453,K51457,2023,Full,07/09/2023,07/10/2023,Out,Lightning,5,5,1457,Lebanon Lake,49.7452,-119.5144,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K51457
1165824.251,1174988.102,G61605,2023,Full,07/12/2023,07/14/2023,Out,Lightning,4,6,1605,Cut Thumb Bay,55.5436,-123.3658,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61605
1384142.799,528128.2939,K61242,2023,Full,07/07/2023,07/08/2023,Out,Lightning,5,6,1242,Peatbog Road,49.6394,-120.679,0.05,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61242
1312791.213,1241442.375,G71818,2023,Full,07/16/2023,07/17/2023,Out,Lightning,4,7,1818,2.5km on the Bacon,56.0668,-120.962,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71818
1290836.21,1201365.566,G70883,2023,Full,06/24/2023,06/24/2023,Out,Lightning,4,7,883,South Of Wallace Creek,55.722,-121.3569,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70883
1271589.175,1565928.054,G90987,2023,Full,06/28/2023,06/29/2023,Out,Lightning,4,9,987,South Kotcho Lake,58.9959,-121.2754,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90987
1508128.579,679584.5973,K40455,2023,Full,05/18/2023,05/22/2023,Out,Lightning,5,4,455,Griffon Ridge,50.8966,-118.758,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40455
1053428.169,553468.2115,V80778,2023,Full,06/14/2023,06/14/2023,Out,Person,2,8,778,Beaver Lodge Lands,49.9946,-125.2549,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80778
1631822.121,547092.6564,N70307,2023,Full,05/14/2023,05/15/2023,Out,Person,6,7,307,Duhammel Creek,49.588,-117.244,0.03,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N70307
1053477.988,553503.9974,V80780,2023,Full,06/14/2023,06/14/2023,Out,Person,2,8,780,Beaver Lodge Trails,49.995,-125.2542,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80780
1430161.777,642377.334,K20983,2023,Full,06/26/2023,06/28/2023,Out,Person,5,2,983,Lower Duck Range Rd,50.6298,-119.9087,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20983
1194519.735,780674.7328,C50031,2023,Full,04/14/2023,04/21/2023,Out,Person,7,5,31,W of Feather Road,52.0024,-123.1614,16.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50031
1193308.062,784278.171,C50100,2023,Full,04/27/2023,05/29/2023,Out,Person,7,5,100,E of Dripping Water Road,52.0351,-123.177,209,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50100
841291.8074,1065904.836,R50580,2023,Full,06/03/2023,06/10/2023,Out,Person,3,5,580,N of 12km on Kitselas Rd,54.5692,-128.4611,1.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50580
1016751.393,966349.8562,R10344,2023,,05/16/2023,05/23/2023,Out,Person,3,1,344,Chief Louis Arm,53.7017,-125.7457,17,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10344
991333.5172,1088633.961,R20264,2023,Full,05/10/2023,05/12/2023,Out,Person,3,2,264,E of Anns Rd,54.7975,-126.1351,1.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R20264
1470836.119,550781.6477,K50607,2023,Full,06/03/2023,06/04/2023,Out,Person,5,5,607,Gillard FSR 5 Km,49.7772,-119.4555,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50607
1123493.624,995048.5428,G40745,2023,Full,06/12/2023,06/12/2023,Out,Person,4,4,745,Stoney Creek,53.9444,-124.114,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40745
1086508.625,1070805.366,G50126,2023,Full,04/29/2023,05/01/2023,Out,Person,4,5,126,NW Stuart Lake Park,54.6305,-124.6567,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50126
1130255.511,989137.6612,G40097,2023,Full,04/26/2023,04/27/2023,Out,Person,4,4,97,Langston Rd,53.8898,-124.0133,0.41,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40097
1742241.798,558682.5027,N10598,2023,Full,06/03/2023,06/04/2023,Out,Person,6,1,598,Isidore Canyon,49.5581,-115.7104,0.045,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10598
1399014.308,648974.2012,K20636,2023,Full,06/05/2023,06/07/2023,Out,Person,5,2,636,Paul Creek,50.712,-120.3403,3.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20636
1130013.185,445795.0416,V60328,2023,Full,05/15/2023,05/16/2023,Out,Person,2,6,328,E of Jump Lake,49.0138,-124.2248,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60328
1216108.878,978048.2562,G10177,2023,Full,05/02/2023,05/11/2023,Out,Person,4,1,177,Fraser River,53.7618,-122.7132,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10177
1044191.013,462951.0962,V70684,2023,Full,06/08/2023,06/08/2023,Out,Person,2,7,684,2km S of Cats Ear Creek,49.1812,-125.3945,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70684
1494290.413,897906.9109,G31264,2023,Full,07/07/2023,07/07/2023,Out,Person,4,3,1264,Yellowhead Lake,52.8578,-118.631,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G31264
1114831.142,543921.1274,V50516,2023,Full,05/28/2023,05/30/2023,Out,Person,2,5,516,Haslam Lake,49.8997,-124.4017,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50516
1424133.154,668029.9384,K20270,2023,Full,05/11/2023,05/15/2023,Out,Person,5,2,270,McGillivray Creek,50.864,-119.9627,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20270
1258512.672,1372191.233,G80528,2023,Full,05/29/2023,05/29/2023,Out,Person,4,8,528,Tommy Lake rd,57.2682,-121.7064,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80528
853294.3195,1187437.838,R40336,2023,Full,05/15/2023,05/16/2023,Out,Person,3,4,336,4.5 km E of Octopus Lake,55.661,-128.3373,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40336
1465141.628,577985.6764,K50113,2023,Full,04/27/2023,04/30/2023,Out,Person,5,5,113,Reid Creek,50.0255,-119.4995,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50113
1398611.955,645122.4347,K20063,2023,Full,04/19/2023,04/22/2023,Out,Person,5,2,63,South of Overlander Bridge,50.6778,-120.3504,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20063
1462262.51,516713.9577,K50563,2023,Full,06/02/2023,06/03/2023,Out,Person,5,5,563,Bread Hollow,49.479,-119.6166,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50563
1464685.784,520038.2542,K50660,2023,Full,06/07/2023,06/11/2023,Out,Person,5,5,660,Esplanade Park,49.5069,-119.5791,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50660
1089052.444,473465.8543,V70482,2023,Full,05/21/2023,05/22/2023,Out,Person,2,7,482,Long Rd,49.2706,-124.7774,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70482
1018973.289,585216.2729,V80796,2023,Full,06/15/2023,06/15/2023,Out,Person,2,8,796,Big Tree Main North,50.2822,-125.7337,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80796
985656.8671,603475.3229,V80326,2023,Full,05/15/2023,05/23/2023,Out,Person,2,8,326,E of Eve River,50.4464,-126.202,4.63,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80326
1196198.117,773544.5822,C50335,2023,Full,05/15/2023,05/16/2023,Out,Person,7,5,335,1km N of Taseko Lake Road,51.9379,-123.1412,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50335
1089712.999,472347.4553,V70496,2023,Full,05/23/2023,05/24/2023,Out,Person,2,7,496,E of Rogers Creek,49.2605,-124.7686,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70496
1089742.4,472399.8638,V70923,2023,Full,06/26/2023,06/26/2023,Out,Person,2,7,923,Roger Creek E,49.2609,-124.7682,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70923
1089310.844,472073.7676,V70924,2023,Full,06/26/2023,06/26/2023,Out,Person,2,7,924,Roger Creek W,49.2581,-124.7742,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70924
1325285.8,1299604.315,G80076,2023,Full,04/21/2023,04/22/2023,Out,Person,4,8,76,Milligan Creek Rd,56.5785,-120.6914,1.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80076
1065189.309,482930.8798,V70263,2023,Full,05/10/2023,05/12/2023,Out,Person,2,7,263,Thunder Mountain,49.359,-125.1033,0.36,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70263
1089551.796,472189.074,V70919,2023,Full,06/26/2023,06/27/2023,Out,Person,2,7,919,Roger Creek,49.2591,-124.7708,0.13,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70919
1310350.495,460241.43,V10317,2023,Full,05/14/2023,05/15/2023,Out,Person,2,1,317,Slesse Road,49.0747,-121.7547,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10317
1304946.356,1337885.641,G80173,2023,Full,05/02/2023,05/09/2023,Out,Person,4,8,173,Prespatou Creek,56.934,-120.978,4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80173
1248287.305,1286542.042,G80035,2023,Full,04/14/2023,04/19/2023,Out,Person,4,8,35,Halfway River,56.5072,-121.957,62,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80035
1293734.237,1275997.344,G80051,2023,Full,04/16/2023,04/19/2023,Out,Person,4,8,51,Red Creek Rd,56.3876,-121.2306,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80051
1399494.106,642281.2379,K20102,2023,Monitor,04/27/2023,04/27/2023,Out,Person,5,2,102,Glen Summit,50.6517,-120.3411,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20102
1247805.771,1287125.555,G80164,2023,Full,05/01/2023,05/10/2023,Out,Person,4,8,164,Chiefs Cabin Creek,56.5127,-121.9643,4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80164
1326642.977,1266540.559,G80120,2023,Full,04/28/2023,05/02/2023,Out,Person,4,8,120,Cactus Trails,56.2821,-120.7096,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80120
1302050.257,1266400.294,G80052,2023,Full,04/16/2023,04/19/2023,Out,Person,4,8,52,Hwy 29,56.2967,-121.1067,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80052
1465320.972,521041.092,K50032,2023,Full,04/14/2023,04/14/2023,Out,Person,5,5,32,Munson Mount,49.5153,-119.5691,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50032
1250371.669,1239512.175,G70412,2023,Full,05/19/2023,06/12/2023,Out,Person,4,7,412,Brenot Creek,56.0854,-121.9667,4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70412
1252048.584,1289074.271,G80267,2023,Full,04/19/2023,05/22/2023,Out,Person,4,8,267,Halfway River,56.5279,-121.8935,0.866,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80267
1244350.515,1285961.122,G80117,2023,Monitor,04/28/2023,05/09/2023,Out,Person,4,8,117,Halfway River Ranch,56.504,-122.0215,50,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80117
1281529.761,1199968.253,G70182,2023,Full,04/10/2023,05/11/2023,Out,Person,4,7,182,Wabi Hill,55.7149,-121.5065,1.09,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70182
1009833.993,982982.6358,R11120,2023,Modified,07/03/2023,07/04/2023,Out,Person,3,1,1120,S of Westman Lake,53.8509,-125.8502,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11120
1199376.751,773854.4577,C50020,2023,Full,04/08/2023,04/10/2023,Out,Person,7,5,20,W of Hanceville-Canoe Creek Road,51.9395,-123.0947,3.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50020
1366726.538,681741.4046,K20662,2023,Full,06/28/2021,06/27/2023,Out,Person,5,2,662,East of Jules Lake,51.0277,-120.7623,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20662
1433080.068,646594.8298,K20791,2023,Full,06/15/2023,06/15/2023,Out,Person,5,2,791,South Thompson River #1,50.6652,-119.8624,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20791
1351663.903,817744.2837,C30675,2023,,06/08/2023,07/04/2023,Out,Person,7,3,675,1.1km NW of Elbow Lake,52.2548,-120.8352,226,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30675
